"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1831",10178,-74.4721984863281,40.7460021972656,"New Jersey",145.268067163319,"309"
"1832",10179,-75.0642108917236,40.7460021972656,"New Jersey",128.289012893522,"309"
"1833",10180,-75.6562232971191,40.7460021972656,"Pennsylvania",129.992164771401,"309"
"1834",10181,-76.2482357025146,40.7460021972656,"Pennsylvania",149.741337000536,"309"
"1835",10182,-76.8402481079102,40.7460021972656,"Pennsylvania",142.728164736056,"141"
"1836",10183,-77.4322605133057,40.7460021972656,"Pennsylvania",125.946960894895,"141"
"1837",10184,-78.0242729187012,40.7460021972656,"Pennsylvania",128.207439363867,"141"
"1838",10185,-78.6162853240967,40.7460021972656,"Pennsylvania",148.643315073608,"141"
"1839",10186,-79.2082977294922,40.7460021972656,"Pennsylvania",181.205541424748,"141"
"1840",10187,-79.8003101348877,40.7460021972656,"Pennsylvania",220.586738759298,"141"
"1841",10188,-80.3923225402832,40.7460021972656,"Pennsylvania",192.816946981859,"297-298-299"
"1842",10189,-80.9843349456787,40.7460021972656,"Ohio",147.900098938096,"297-298-299"
"1843",10190,-81.5763473510742,40.7460021972656,"Ohio",107.798100203957,"297-298-299"
"1844",10191,-82.1683597564697,40.7460021972656,"Ohio",80.104984360185,"297-298-299"
"1845",10192,-82.7603721618652,40.7460021972656,"Ohio",79.144216730659,"297-298-299"
"1846",10193,-83.3523845672607,40.7460021972656,"Ohio",93.6544581361148,"302"
"1847",10194,-83.9443969726562,40.7460021972656,"Ohio",71.956677773163,"302"
"1848",10195,-84.5364093780518,40.7460021972656,"Ohio",80.8465348285208,"302"
"1849",10196,-85.1284217834473,40.7460021972656,"Indiana",81.1567907038948,"238"
"1850",10197,-85.7204341888428,40.7460021972656,"Indiana",74.2664758385234,"238"
"1851",10198,-86.3124465942383,40.7460021972656,"Indiana",27.0081106736412,"236"
"1852",10199,-86.9044589996338,40.7460021972656,"Indiana",23.7539921642477,"236"
"1853",10200,-87.4964714050293,40.7460021972656,"Indiana",73.4976276325564,"236"
"1854",10201,-88.0884838104248,40.7460021972656,"Illinois",103.38950401988,"325-326"
"1855",10202,-88.6804962158203,40.7460021972656,"Illinois",63.3647952699689,"325-326"
"1856",10203,-89.2725086212158,40.7460021972656,"Illinois",48.7123765374083,"325-326"
"1857",10204,-89.8645210266113,40.7460021972656,"Illinois",60.4678440229881,"329"
"1858",10205,-90.4565334320068,40.7460021972656,"Illinois",22.7651807687947,"329"
"1859",10206,-91.0485458374023,40.7460021972656,"Illinois",18.4535342703487,"330"
"1860",10207,-91.6405582427979,40.7460021972656,"Iowa",12.466181885305,"87-88-89-90"
"1861",10208,-92.2325706481934,40.7460021972656,"Iowa",10.0249848880493,"80-81-82"
"1862",10209,-92.8245830535889,40.7460021972656,"Iowa",49.8560671221634,"80-81-82"
"1863",10210,-93.4165954589844,40.7460021972656,"Iowa",20.9221268118493,"51-52-53"
